patent_id,country_code,title,assignee,author,priority_date,creation_date,publ_date,grant_date,result_link,fig_link
US-11613201-B2,US,Automatic high beam control for autonomous machine applications ,Nvidia Corporation,"Jincheng LI, Minwoo Park",2019-08-12,2020-12-08,2023-03-28,2023-03-28,https://patents.google.com/patent/US11613201B2/en,https://patentimages.storage.googleapis.com/f4/a4/32/03b880254e623a/US11613201-20230328-D00000.png
US-10601868-B2,US,Enhanced techniques for generating and deploying dynamic false user accounts ,"Microsoft Technology Licensing, Llc",Brian Michael WILCOX,2018-08-09,2018-09-08,2020-03-24,2020-03-24,https://patents.google.com/patent/US10601868B2/en,https://patentimages.storage.googleapis.com/13/5b/90/52a7fd5c1bce3c/US10601868-20200324-D00000.png
US-11017250-B2,US,Vehicle manipulation using convolutional image processing ,"Affectiva, Inc.","Panu James Turcot, Rana el Kaliouby, Abdelrahman N. Mahmoud, Seyedmohammad Mavadati",2010-06-07,2018-02-03,2021-05-25,2021-05-25,https://patents.google.com/patent/US11017250B2/en,https://patentimages.storage.googleapis.com/aa/87/91/04435f2ac6383f/US11017250-20210525-D00000.png
US-11736973-B2,US,Enabling wireless network personalization using zone of tolerance modeling and predictive analytics ,Carleton University,"Rawan ALKURD, Halim Yanikomeroglu, Ibrahim ABU ALHAOL",2018-08-29,2021-01-03,2023-08-22,2023-08-22,https://patents.google.com/patent/US11736973B2/en,https://patentimages.storage.googleapis.com/d4/76/e6/f28e4bbee17341/US11736973-20230822-D00000.png
US-11310181-B2,US,"User terminal apparatus, server, and control method thereof ","Samsung Electronics Co., Ltd.","Gun PARK, Won-suck LEE, Ae-young LEE, Jung-kih Hong",2015-05-15,2019-11-12,2022-04-19,2022-04-19,https://patents.google.com/patent/US11310181B2/en,https://patentimages.storage.googleapis.com/3f/26/a1/7613c911d46786/US11310181-20220419-D00000.png
US-11263095-B1,US,Managing a data analytics pipeline ,"Pure Storage, Inc.","Ivan Jibaja, Curtis Pullen, Prashant Jaikumar, Stefan Dorsett, Gaurav Jain, Neil Vachharajani, Srinivas Chellappa",2018-03-26,2020-02-09,2022-03-01,2022-03-01,https://patents.google.com/patent/US11263095B1/en,https://patentimages.storage.googleapis.com/a6/26/f2/f35467b87bbfd6/US11263095-20220301-D00000.png
US-11632817-B2,US,Method and device for transmitting information for operating station in wireless local area network system supporting multiple bands ,Lg Electronics Inc.,"Suhwook Kim, Sanggook KIM, Jeongki Kim, Jinsoo Choi",2018-08-10,2019-08-08,2023-04-18,2023-04-18,https://patents.google.com/patent/US11632817B2/en,https://patentimages.storage.googleapis.com/d2/8a/4c/34ad93adb402e2/US11632817-20230418-D00000.png
US-11723094-B2,US,Method and device for transmitting signal through multi-link in wireless LAN system ,Lg Electronics Inc.,"Insun JANG, Suhwook Kim, Jeongki Kim, Kiseon Ryu, Sungjin Park, Taewon SONG, Jinsoo Choi",2018-08-10,2019-08-08,2023-08-08,2023-08-08,https://patents.google.com/patent/US11723094B2/en,https://patentimages.storage.googleapis.com/d1/4d/d5/f5b1e3b6eb92a4/US11723094-20230808-D00000.png
US-11943809-B2,US,Method and device for controlling plurality of links in wireless local area network system supporting plurality of links ,Lg Electronics Inc.,"Insun JANG, Suhwook Kim, Jeongki Kim, Kiseon Ryu, Sungjin Park, Taewon SONG, Jinsoo Choi",2018-08-10,2019-09-08,2024-03-26,2024-03-26,https://patents.google.com/patent/US11943809B2/en,https://patentimages.storage.googleapis.com/53/20/2b/00205629a99913/US11943809-20240326-D00000.png
US-11716682-B2,US,Method and device for transmitting or receiving information about links in wireless LAN system ,Lg Electronics Inc.,"Suhwook Kim, Jeongki Kim, Kiseon Ryu, Jinsoo Choi",2018-08-23,2022-12-10,2023-08-01,2023-08-01,https://patents.google.com/patent/US11716682B2/en,https://patentimages.storage.googleapis.com/f8/5d/49/7379e30e081267/US11716682-20230801-D00000.png
US-12041675-B2,US,Multi-link operation mode ,Lg Electronics Inc.,"Insun JANG, Jeongki Kim, Jinsoo Choi, Suhwook Kim, Sungjin Park, Taewon SONG",2019-07-02,2023-07-09,2024-07-16,2024-07-16,https://patents.google.com/patent/US12041675B2/en,https://patentimages.storage.googleapis.com/7d/e3/b1/d5533c51031b0e/US12041675-20240716-D00000.png
KR-102435503-B1,KR,COMPUTING SYSTEM AND METHOD FOR INTELLIGENT IoE INFORMATION FRAMEWORK ,한국전자통신연구원,"유태완, 홍정하, 김귀훈, 홍용근, 윤현식, 임완선, 김민석, 김태환",2017-11-17,2018-06-09,2022-08-24,2022-08-24,https://patents.google.com/patent/KR102435503B1/en,https://patentimages.storage.googleapis.com/b1/98/79/b5a846b0bf746a/112018088849774-pat00001.png
US-11620529-B2,US,Method of continual-learning of data sets and apparatus thereof ,Lunit Inc.,Hyo-Eun Kim,2019-05-20,2019-06-12,2023-04-04,2023-04-04,https://patents.google.com/patent/US11620529B2/en,https://patentimages.storage.googleapis.com/3d/be/97/de25a45c6352d2/US11620529-20230404-D00000.png
US-11295174-B2,US,Opponent modeling with asynchronous methods in deep RL ,Royal Bank Of Canada,"Pablo Francisco HERNANDEZ LEAL, Bilal KARTAL, Matthew Edmund TAYLOR",2018-11-05,2019-05-11,2022-04-05,2022-04-05,https://patents.google.com/patent/US11295174B2/en,https://patentimages.storage.googleapis.com/69/f1/84/95cf8802212885/US11295174-20220405-D00000.png
US-11741306-B2,US,Controllable grounded text generation ,"Microsoft Technology Licensing, Llc","Michel Galley, Christopher Brian Quirk, William Brennan Dolan, Zeqiu WU",2019-12-18,2020-12-03,2023-08-29,2023-08-29,https://patents.google.com/patent/US11741306B2/en,https://patentimages.storage.googleapis.com/d8/64/d1/0ba5a75f6f6fcf/US11741306-20230829-D00000.png
EP-3835908-B1,EP,"Automatic driving method, training method and related apparatuses ","Huawei Technologies Co., Ltd.","Xing Zhang, Lin Lan, Zhenguo Li, Li Qian",2018-12-13,2019-11-11,2023-10-25,2023-10-25,https://patents.google.com/patent/EP3835908B1/en,https://patentimages.storage.googleapis.com/f0/6d/72/aefe94e07b0093/imgf0001.png
CN-110795818-B,CN,"Method and device for determining virtual test scene, electronic equipment and storage medium ",腾讯科技（深圳）有限公司,孙驰天,2019-09-12,2019-12-09,2022-05-17,2022-05-17,https://patents.google.com/patent/CN110795818B/en,https://patentimages.storage.googleapis.com/a5/15/c1/45b378619f6295/HDA0002201579060000011.png
US-11045271-B1,US,Robotic medical system ,Bao Q Tran,Bao Q Tran,2021-02-09,2021-09-02,2021-06-29,2021-06-29,https://patents.google.com/patent/US11045271B1/en,https://patentimages.storage.googleapis.com/92/f6/82/464b1b4bec00e2/US11045271-20210629-D00000.png
US-12062268-B2,US,Methods and apparatus for using video analytics to detect regions for privacy protection within images from moving cameras ,Kiwisecurity Software Gmbh,"Florian Matusek, Klemens Kraus, Stephan Sutor, Ádám ERDÉLYI, Georg ZANKL",2016-01-29,2021-04-02,2024-08-13,2024-08-13,https://patents.google.com/patent/US12062268B2/en,https://patentimages.storage.googleapis.com/ba/be/8b/b8b8422f4ffba3/US12062268-20240813-D00000.png
EP-3955173-B1,EP,Training neural network accelerators using mixed precision data formats ,"Microsoft Technology Licensing, LLC","Bita Darvish ROUHANI, Taesik Na, Eric S CHUNG, Daniel Lo, Douglas C BURGER",2018-12-18,2019-05-12,2022-08-24,2022-08-24,https://patents.google.com/patent/EP3955173B1/en,https://patentimages.storage.googleapis.com/12/f6/38/6b79b9f39dc3a9/imgf0001.png
US-10360499-B2,US,Methods for using artificial neural network analysis on flow cytometry data for cancer diagnosis ,Anixa Diagnostics Corporation,"Amit Kumar, John Roop, Anthony J. Campisi, George DOMINGUEZ",2017-02-28,2018-05-03,2019-07-23,2019-07-23,https://patents.google.com/patent/US10360499B2/en,https://patentimages.storage.googleapis.com/b1/2f/21/add744b246cde4/US10360499-20190723-D00000.png
CN-111819892-B,CN,Method and apparatus for AI-based UE velocity estimation using uplink SRS measurements ,三星电子株式会社,"维克拉姆·钱德拉塞卡尔, 张建中, 陈浩, 萨伊蒂拉杰·阿穆鲁, 胡野青",2018-03-06,2019-06-03,2022-09-20,2022-09-20,https://patents.google.com/patent/CN111819892B/en,https://patentimages.storage.googleapis.com/f0/46/1d/e8064f222ff93e/HDA0002662621760000011.png
US-11701771-B2,US,Grasp generation using a variational autoencoder ,Nvidia Corporation,"Arsalan Mousavian, Clemens Eppner, Dieter Fox",2019-05-15,2020-04-03,2023-07-18,2023-07-18,https://patents.google.com/patent/US11701771B2/en,https://patentimages.storage.googleapis.com/5f/34/b1/bb01eac179a741/US11701771-20230718-D00000.png
US-11876782-B2,US,Header-based packet filtering and inferencing to identify malicious network traffic using neural networks ,Nvidia Corporation,"Andrea Miele, Gaurav Dadwal",2021-02-08,2021-08-02,2024-01-16,2024-01-16,https://patents.google.com/patent/US11876782B2/en,https://patentimages.storage.googleapis.com/41/46/f3/c0576528a7bfc4/US11876782-20240116-D00000.png
US-10628943-B2,US,Deep learning medical systems and methods for image acquisition ,General Electric Company,"Jiang Hsieh, Gopal Avinash, Saad Sirohey",2016-11-23,2018-09-10,2020-04-21,2020-04-21,https://patents.google.com/patent/US10628943B2/en,https://patentimages.storage.googleapis.com/d4/1d/ec/cc8d57c25fc589/US10628943-20200421-D00000.png
US-10692242-B1,US,Vehicle analysis platform ,"Capital One Services, Llc","Mark Morrison, Prasad Pathapati",2019-05-02,2019-04-10,2020-06-23,2020-06-23,https://patents.google.com/patent/US10692242B1/en,https://patentimages.storage.googleapis.com/17/f5/1e/f5f5c2ba5ff62b/US10692242-20200623-D00000.png
CN-110399457-B,CN,Intelligent question answering method and system ,吉林大学,"彭涛, 崔海, 包铁, 韩日东, 于洪江",2019-07-01,2019-01-07,2023-02-03,2023-02-03,https://patents.google.com/patent/CN110399457B/en,https://patentimages.storage.googleapis.com/15/98/9b/64543259a76953/HDA0002114563860000011.png
US-12039166-B2,US,Leveraging distinct storage tiers in a virtual storage system ,"Pure Storage, Inc.","Ronald Karr, Naveen Neelakantam, Radek Aster, Joshua Freilich, Aswin Karumbunathan",2019-07-18,2021-12-08,2024-07-16,2024-07-16,https://patents.google.com/patent/US12039166B2/en,https://patentimages.storage.googleapis.com/ef/fe/b7/c12d73c1c9512b/US12039166-20240716-D00000.png
US-12026612-B2,US,Optimization of parameter values for machine-learned models ,Google Llc,"Daniel Reuben Golovin, Benjamin Solnik, Subhodeep Moitra, II David W. Sculley, Gregory Peter Kochanski",2017-06-02,2017-02-06,2024-07-02,2024-07-02,https://patents.google.com/patent/US12026612B2/en,https://patentimages.storage.googleapis.com/b6/ef/b0/d5704e9eb0cc95/US12026612-20240702-D00000.png
US-11726577-B2,US,Systems and methods for triggering actions based on touch-free gesture detection ,"Eyesight Mobile Technologies, LTD.",Itay Katz,2012-12-13,2022-11-02,2023-08-15,2023-08-15,https://patents.google.com/patent/US11726577B2/en,https://patentimages.storage.googleapis.com/b0/19/43/2da102e4831e6a/US11726577-20230815-D00000.png
US-10990480-B1,US,Performance of RAID rebuild operations by a storage group controller of a storage system ,"Pure Storage, Inc.","Andrew R. Bernat, Logan Jennings, Peter E. Kirkpatrick",2019-04-05,2019-05-04,2021-04-27,2021-04-27,https://patents.google.com/patent/US10990480B1/en,https://patentimages.storage.googleapis.com/3f/04/b4/d272fc2f1dc4f7/US10990480-20210427-D00000.png
US-11734634-B2,US,Risk probability assessment for cargo shipment operations and methods of use thereof ,Christoph KALINSKI,Chris KALINSKI,2021-05-07,2022-06-05,2023-08-22,2023-08-22,https://patents.google.com/patent/US11734634B2/en,https://patentimages.storage.googleapis.com/83/ed/05/0b985c0b4520d2/US11734634-20230822-D00000.png
US-11376076-B2,US,"Patient-specific medical systems, devices, and methods ","Carlsmed, Inc.","Niall Patrick Casey, Michael J. Cordonnier, Justin Esterberg, Jeffrey Roh",2020-01-06,2021-08-06,2022-07-05,2022-07-05,https://patents.google.com/patent/US11376076B2/en,https://patentimages.storage.googleapis.com/bb/cc/79/dfc0002f3300fd/US11376076-20220705-D00000.png
CN-110581772-B,CN,Instant messaging message interaction method and device and computer readable storage medium ,腾讯科技（深圳）有限公司,陈姿,2019-09-06,2019-06-09,2020-10-13,2020-10-13,https://patents.google.com/patent/CN110581772B/en,https://patentimages.storage.googleapis.com/fe/95/6e/e4d617041a8f67/HDA0002194144380000011.png
CN-110458154-B,CN,"Face recognition method, face recognition device and computer-readable storage medium ",腾讯科技（深圳）有限公司,"原俊, 张颖, 耿志军, 郭润增, 吴进发, 王少鸣, 唐川鹏, 田朝会, 张晋铭, 叶婷婷, 陈磊, 刘文君, 黄家宇, 吴志伟, 许阳辉, 向卓林, 李胤恺, 李俊斌",2019-09-12,2019-12-09,2021-08-31,2021-08-31,https://patents.google.com/patent/CN110458154B/en,https://patentimages.storage.googleapis.com/a0/39/0d/3189439f6bd3a5/HDA0002201268180000011.png
KR-102425578-B1,KR,Method and apparatus for recognizing an object ,삼성전자주식회사,"정현주, 이건희, 최인권, 김성진, 최현수",2017-08-08,2017-08-08,2022-07-26,2022-07-26,https://patents.google.com/patent/KR102425578B1/en,https://patentimages.storage.googleapis.com/d5/67/c1/187575a12ab56d/112017076522879-pat00001.png
US-11826636-B2,US,Depth sensing module and mobile device including the same ,Chris Argiro,Chris Argiro,2013-07-12,2015-12-10,2023-11-28,2023-11-28,https://patents.google.com/patent/US11826636B2/en,https://patentimages.storage.googleapis.com/45/85/eb/ae98d0e7c41296/US11826636-20231128-D00000.png
US-11446817-B2,US,Control system to control intelligent robot device ,Lg Electronics Inc.,Taehyun Kim,2019-08-21,2019-11-10,2022-09-20,2022-09-20,https://patents.google.com/patent/US11446817B2/en,https://patentimages.storage.googleapis.com/c6/d0/97/0841e00bd371f6/US11446817-20220920-D00000.png
US-11692989-B2,US,Use of soil and other environmental data to recommend customized agronomic programs ,"Locus Solutions Ipco, Llc","Scott Alan SHIBATA, Paul S. Zorner, Sean Farmer",2019-07-11,2020-10-07,2023-07-04,2023-07-04,https://patents.google.com/patent/US11692989B2/en,https://patentimages.storage.googleapis.com/bf/61/67/223beb46b523e3/US11692989-20230704-D00000.png
US-11392695-B2,US,Detecting ransomware ,"Mcafee, Llc","Kunal Mehta, Sherin Mary Mathews, Carl D. Woodward, Celeste R. Fralick, Jonathan B. King",2018-09-26,2020-05-10,2022-07-19,2022-07-19,https://patents.google.com/patent/US11392695B2/en,https://patentimages.storage.googleapis.com/48/a7/2e/10229ad24fe33b/US11392695-20220719-D00000.png
US-10699194-B2,US,System and method for mimicking a neural network without access to the original training dataset or the target model ,DeepCube LTD.,Eli David,2018-06-01,2018-06-12,2020-06-30,2020-06-30,https://patents.google.com/patent/US10699194B2/en,https://patentimages.storage.googleapis.com/53/67/2b/9ff679af69e316/US10699194-20200630-D00000.png
US-10950118-B2,US,Modular sensing systems and methods ,"Navio International, Inc.","Ernest C. Brown, John A. Jarrell",2016-04-19,2019-03-12,2021-03-16,2021-03-16,https://patents.google.com/patent/US10950118B2/en,https://patentimages.storage.googleapis.com/50/55/ae/b5068f242d728c/US10950118-20210316-D00000.png
CN-110018955-B,CN,Generating automated test scripts by transforming manual test cases ,埃森哲环球解决方案有限公司,"G·库尔卡尼, S·拉玛林加姆, C·R·耶拿",2018-01-10,2019-08-01,2022-06-03,2022-06-03,https://patents.google.com/patent/CN110018955B/en,https://patentimages.storage.googleapis.com/2e/7c/cc/29ba06c9e1a616/HDA0001938776950000011.png
US-11438279-B2,US,Non-disruptive conversion of a clustered service from single-chassis to multi-chassis ,"Pure Storage, Inc.","Matthew Strathman, Oksana Aguilera, Smruthi Manjunath, Bennett Amodio",2018-07-23,2018-11-10,2022-09-06,2022-09-06,https://patents.google.com/patent/US11438279B2/en,https://patentimages.storage.googleapis.com/1b/93/d2/2ed45bdbd13e7b/US11438279-20220906-D00000.png
US-12019764-B2,US,Modifying encryption in a storage system ,"Pure Storage, Inc.","Constantine P. Sapuntzakis, Kiron Vijayasankar, Yuval Frandzel",2018-10-26,2021-02-09,2024-06-25,2024-06-25,https://patents.google.com/patent/US12019764B2/en,https://patentimages.storage.googleapis.com/dd/f7/7f/e25f98fbc60635/US12019764-20240625-D00000.png
US-10623386-B1,US,Secret sharing data protection in a storage system ,"Pure Storage, Inc.","Andrew Bernat, Damian Yurzola, Timothy Brennan, Ethan MILLER, John Colgrove",2012-09-26,2018-10-10,2020-04-14,2020-04-14,https://patents.google.com/patent/US10623386B1/en,https://patentimages.storage.googleapis.com/61/c1/17/cf8bc8b58d8099/US10623386-20200414-D00000.png
US-10944912-B2,US,Systems and methods for reducing flicker artifacts in imaged light sources ,"Ford Global Technologies, Llc",David Michael Herman,2019-06-04,2019-04-06,2021-03-09,2021-03-09,https://patents.google.com/patent/US10944912B2/en,https://patentimages.storage.googleapis.com/a7/3f/8a/46a812898fcd4b/US10944912-20210309-D00000.png
US-11788877-B2,US,Apparatus and method for waste monitoring and analysis ,"Zabble, Inc.","Nikhil Balachandran, Orlando Talavera",2018-05-01,2021-08-02,2023-10-17,2023-10-17,https://patents.google.com/patent/US11788877B2/en,https://patentimages.storage.googleapis.com/1d/90/35/8a2d255deeb46f/US11788877-20231017-D00000.png
US-10503386-B2,US,Messaging window overlay for a browser ,"Please Don't Go, LLC.","Pavel S. KILCHENKO, Gene I. Kofman, Michael G. Makar, Tracy A. Tindall",2008-05-21,2019-11-02,2019-12-10,2019-12-10,https://patents.google.com/patent/US10503386B2/en,https://patentimages.storage.googleapis.com/ee/8d/7a/dd5cac04bb1779/US10503386-20191210-D00000.png
US-10846274-B2,US,Ontological subjects of a universe and knowledge representations thereof ,Hamid Hatami-Hanza,Hamid Hatami-Hanza,2007-07-26,2017-08-05,2020-11-24,2020-11-24,https://patents.google.com/patent/US10846274B2/en,https://patentimages.storage.googleapis.com/dd/8f/18/67708b147ad207/US10846274-20201124-D00000.png
US-11514411-B2,US,Multi-tier tokenization platform ,Pontoro Inc.,"Monique Vaddhana-Moni Sinmao, Antonio Vitti, Ka Hang Simon Sham, Robert Havelock Dewing",2018-10-10,2019-10-10,2022-11-29,2022-11-29,https://patents.google.com/patent/US11514411B2/en,https://patentimages.storage.googleapis.com/01/73/24/82e81ea72350f7/US11514411-20221129-D00000.png
CN-110754075-B,CN,Method and system for providing personalized live information exchange ,美的集团股份有限公司,"王冬岩, 苏万里, 朱玉洁, 马仕俊",2017-10-13,2018-10-10,2020-09-11,2020-09-11,https://patents.google.com/patent/CN110754075B/en,https://patentimages.storage.googleapis.com/02/cc/04/37b3aa2983b592/HDA0002323840280000011.png
CN-110770779-B,CN,Method and system for providing personalized live information exchange ,美的集团股份有限公司,"王冬岩, 苏万里, 杨鸣一, 艾德文",2017-10-13,2018-10-10,2022-05-24,2022-05-24,https://patents.google.com/patent/CN110770779B/en,https://patentimages.storage.googleapis.com/df/31/9e/8875cf84f0732e/HDA0002324598520000011.png
US-12100025-B2,US,Platform for management of user data ,"Data Vault Holdings, Inc.","Alfred Blair Blaikie, III, Nathaniel T. Bradley, Joshua S. Paugh",2019-12-11,2020-11-12,2024-09-24,2024-09-24,https://patents.google.com/patent/US12100025B2/en,https://patentimages.storage.googleapis.com/0d/f7/7e/715946ee7b4301/US12100025-20240924-D00000.png
JP-7267365-B2,JP,"Text error correction method, apparatus, electronic equipment and storage medium ",ベイジン バイドゥ ネットコム サイエンス テクノロジー カンパニー リミテッド,"ルイチン ツァン, チュアンチャン ツァン, チョンジュン へ, ツィ リ, ファ ウ",2020-12-11,2021-07-09,2023-05-01,2023-05-01,https://patents.google.com/patent/JP7267365B2/en,https://patentimages.storage.googleapis.com/7d/a1/1a/8d04ba0115ca81/0007267365000017.png
US-11710156-B2,US,"Systems, devices, and methods for dynamically generating, distributing, and managing online communications ","SOCI, Inc.","Afif Khoury, Alo Sarv, Matthew William MAYBENO",2019-08-09,2022-11-05,2023-07-25,2023-07-25,https://patents.google.com/patent/US11710156B2/en,https://patentimages.storage.googleapis.com/79/08/21/c757bc27fdee73/US11710156-20230725-D00000.png
US-10129777-B2,US,Device-driven intelligence and feedback for performance optimization and planning of a service network ,"At&T Intellectual Property I, L.P., At&T Mobility Ii Llc","Mark Austin, Michael Bates, Joseph Dennisson, Stephen Kelly, Sheldon Meredith, Lawrence Ryan, Michael Salmon",2010-05-06,2017-10-01,2018-11-13,2018-11-13,https://patents.google.com/patent/US10129777B2/en,https://patentimages.storage.googleapis.com/6b/6c/9d/f4e6e8a84cc092/US10129777-20181113-D00000.png
US-10779761-B2,US,Sporadic collection of affect data within a vehicle ,"Affectiva, Inc.","Rana el Kaliouby, Abdelrahman N. Mahmoud, Seyedmohammad Mavadati",2010-06-07,2018-03-12,2020-09-22,2020-09-22,https://patents.google.com/patent/US10779761B2/en,https://patentimages.storage.googleapis.com/41/d0/d7/613f5be3e4e4e4/US10779761-20200922-D00000.png
US-10534809-B2,US,"Method, system, and device of virtual dressing utilizing image processing, machine learning, and computer vision ",Zeekit Online Shopping Ltd.,"Yael Wiesel, Nir Appleboim, Alon Kristal",2016-08-10,2018-12-10,2020-01-14,2020-01-14,https://patents.google.com/patent/US10534809B2/en,https://patentimages.storage.googleapis.com/4a/68/d4/6b47501b02f447/US10534809-20200114-D00000.png
US-10607732-B2,US,"Wearable digital device for personal health use for saliva, urine, and blood testing and mobile wrist watch powered by user body ","Zhou Tian Xing, Andrew H B Zhou, Tiger T G Zhou","Zhou Tian Xing, Andrew H B Zhou, Tiger T G Zhou",2002-10-01,2019-10-03,2020-03-31,2020-03-31,https://patents.google.com/patent/US10607732B2/en,https://patentimages.storage.googleapis.com/cc/f3/1c/3a241a98c5f798/US10607732-20200331-D00000.png
US-12107874-B2,US,Automated intelligent detection and mitigation of cyber security threats ,Fmr Llc,Mrinal Malhotra,2019-07-08,2020-07-07,2024-10-01,2024-10-01,https://patents.google.com/patent/US12107874B2/en,https://patentimages.storage.googleapis.com/6c/30/d8/fa4ec229e47cce/US12107874-20241001-D00000.png
CN-108198620-B,CN,Skin disease intelligent auxiliary diagnosis system based on deep learning ,洛阳飞来石软件开发有限公司,"董岩, 周煜, 张乐毅",2018-01-12,2018-12-01,2022-03-22,2022-03-22,https://patents.google.com/patent/CN108198620B/en,https://patentimages.storage.googleapis.com/3d/22/54/181deb48a8cc83/180111141256.png
US-11790317-B2,US,"System, device, and process for tracking product ",Golden State Foods Corp.,Guilda JAVAHERI,2018-12-06,2019-05-12,2023-10-17,2023-10-17,https://patents.google.com/patent/US11790317B2/en,https://patentimages.storage.googleapis.com/33/73/1a/349768731f47a2/US11790317-20231017-D00000.png
US-11775829-B2,US,Generative adversarial neural network assisted video reconstruction ,Nvidia Corporation,"Tero Tapani KARRAS, Samuli Matias Laine, David Patrick Luebke, Jaakko T. Lehtinen, Miika Samuli Aittala, Timo Oskari Aila, Ming-Yu Liu, Arun Mohanray Mallya, Ting-Chun Wang",2018-11-14,2022-12-12,2023-10-03,2023-10-03,https://patents.google.com/patent/US11775829B2/en,https://patentimages.storage.googleapis.com/2f/90/14/b748a906234b0d/US11775829-20231003-D00000.png
US-11625613-B2,US,Generative adversarial neural network assisted compression and broadcast ,Nvidia Corporation,"Tero Tapani KARRAS, Samuli Matias Laine, David Patrick Luebke, Jaakko T. Lehtinen, Miika Samuli Aittala, Timo Oskari Aila, Ming-Yu Liu, Arun Mohanray Mallya, Ting-Chun Wang",2018-11-14,2021-07-01,2023-04-11,2023-04-11,https://patents.google.com/patent/US11625613B2/en,https://patentimages.storage.googleapis.com/a1/fa/dc/7fa73949172a9c/US11625613-20230411-D00000.png
US-11093853-B2,US,Task-agnostic integration of human and machine intelligence ,"Tagasauris, Inc., New York University","Joshua M. Attenberg, Panagiotis G. Ipeirotis",2012-04-18,2016-06-11,2021-08-17,2021-08-17,https://patents.google.com/patent/US11093853B2/en,https://patentimages.storage.googleapis.com/05/11/e4/5da9e61372b887/US11093853-20210817-D00000.png
US-11635767-B2,US,System and method of using multi-resolution camera clusters input data for controlling autonomous vehicles ,Semyon Nisenzon,Semyon Nisenzon,2019-02-13,2020-12-02,2023-04-25,2023-04-25,https://patents.google.com/patent/US11635767B2/en,https://patentimages.storage.googleapis.com/d8/9b/67/78e1d2fe31c697/US11635767-20230425-D00000.png
US-10860173-B1,US,Modular systems and methods for selectively enabling cloud-based assistive technologies ,"Audioeye, Inc.","Sean D. Bradley, Mark D. Baker, Jeffrey O. Jones, Kenny P. Hefner, Adam Finkelstein, Douglas J. Gilormo, Taylor R. Bodnar, David C. Pinckney, Charlie E. Blevins, Helena Laymon, Trevor C. Jones",2016-03-18,2020-12-08,2020-12-08,2020-12-08,https://patents.google.com/patent/US10860173B1/en,https://patentimages.storage.googleapis.com/46/2e/e4/3ce7f10c1cac5d/US10860173-20201208-D00000.png
US-11334817-B2,US,"Blockchain-based data processing method, apparatus, and electronic device thereof ","Lenovo (Beijing) Co., Ltd.","Qigang Wang, Xiaobing Guo, Zhongchao Shi, Zeyu NING",2018-03-09,2019-07-03,2022-05-17,2022-05-17,https://patents.google.com/patent/US11334817B2/en,https://patentimages.storage.googleapis.com/9b/fe/ad/7bee69d663230a/US11334817-20220517-D00000.png
US-11104502-B2,US,Multi-function compact appliance and methods for a food or item in a container with a container storage technology ,Jeffrey S. Melcher,Edward P. Espinosa,2016-03-01,2017-01-03,2021-08-31,2021-08-31,https://patents.google.com/patent/US11104502B2/en,https://patentimages.storage.googleapis.com/83/bb/9a/f7d18aec728696/US11104502-20210831-D00000.png
CN-109213600-B,CN,GPU resource scheduling method and device based on AI cloud ,郑州云海信息技术有限公司,"房体盈, 刘正伟",2018-09-11,2018-11-09,2021-04-30,2021-04-30,https://patents.google.com/patent/CN109213600B/en,https://patentimages.storage.googleapis.com/4e/91/35/9a0af17c35bc2f/HDA0001795905090000011.png
US-12100008-B2,US,Risk assessment through device data using machine learning-based network ,"Paypal, Inc.","Manickkam Pandian, Souradeep Sen, Ranjit K. VALASA, Suchita Shridhar SHIRKE, Sabarirajan Jeeva",2020-05-28,2023-07-04,2024-09-24,2024-09-24,https://patents.google.com/patent/US12100008B2/en,https://patentimages.storage.googleapis.com/c8/23/53/122d74f2790a0a/US12100008-20240924-D00000.png
US-11568187-B2,US,Managing missing values in datasets for machine learning models ,Fair Isaac Corporation,"Chong Huang, Arash Nourian, Feier Lian, Longfei FAN, Kevin Griest, Jari Koister, Andrew Flint",2019-08-16,2020-10-02,2023-01-31,2023-01-31,https://patents.google.com/patent/US11568187B2/en,https://patentimages.storage.googleapis.com/e7/fc/ea/fa887685227560/US11568187-20230131-D00000.png
US-10152719-B2,US,Virtual photorealistic digital actor system for remote service of customers ,Ratnakumar Navaratnam,Ratnakumar Navaratnam,2014-03-28,2017-06-07,2018-12-11,2018-12-11,https://patents.google.com/patent/US10152719B2/en,https://patentimages.storage.googleapis.com/d4/35/09/bce5b0d605399c/US10152719-20181211-D00000.png
EP-3622697-B1,EP,Hierarchical split of application between cloud and edge ,"Microsoft Technology Licensing, LLC","Samuel John George, Cameron William SKINNER, Chipalo STREET, Elio DAMAGGIO, Michael R. YAGLEY, Varun PURANIK, Rajasekharan VENGALIL",2017-05-09,2018-11-04,2022-11-02,2022-11-02,https://patents.google.com/patent/EP3622697B1/en,https://patentimages.storage.googleapis.com/cd/27/11/d94a95954ed901/imgf0001.png
US-10509718-B2,US,System and method for automatically generating software testing scripts from test cases ,Cognizant Technology Solutions India Pvt. Ltd,"Ramakrishnan Venkatasubramanian, Amarnath Sankar, Carnelian Lamech, Ghatak Anit, Srinivasan Kumarappan, Suraj Sangavkar",2017-12-08,2018-01-02,2019-12-17,2019-12-17,https://patents.google.com/patent/US10509718B2/en,https://patentimages.storage.googleapis.com/54/5b/30/b514aa45dac793/US10509718-20191217-D00000.png
